f_preferred_name,Mg,Mg_err,K,K_err,Eu,Eu_err,f_name,f_p,f_p_min_err,f_p_max_err,f_m_p,f_m_p_min_err,f_m_p_max_err,f_e,f_e_min_err,f_e_max_err,f_a,f_a_min_err,f_a_max_err,
HIP 7902 ,0.08 ,0.12 ,-0.07 ,0.04 ,0.34 ,0.22 ,,,,,,,,,,,,,,
HIP 34017 ,-0.02 ,0.12 ,0.08 ,0.10 ,0.78 ,0.11 ,,,,,,,,,,,,,,
HIP 37606 ,0.03 ,0.14 ,-0.10 ,0.04 ,0.07 ,0.11 ,,,,,,,,,,,,,,
HIP 113896 ,-0.09 ,0.08 ,0.10 ,0.04 ,0.78 ,0.11 ,,,,,,,,,,,,,,
HIP 6379 ,-0.02 ,0.08 ,-0.28 ,0.04 ,-0.08 ,0.11 ,b c d ,5.3978 15.3006 24.4459 ,0.0015 0.0018 0.009 ,-0.0015 -0.0018 -0.0091 ,0.0291 0.0278 0.0192 ,None 0.002 0.0021 ,None -0.0019 -0.002 ,0.17 0.1 0.17 ,0.16 0.069 0.1 ,-0.16 -0.062 -0.1 ,0.057 0.1121 0.1532 ,None 0.0015 0.0021 ,None -0.0016 -0.0021 ,
HIP 114924 ,0.08 ,0.10 ,0.20 ,0.13 ,0.16 ,0.11 ,,,,,,,,,,,,,,
HIP 3821 ,-0.16 ,0.16 ,0.03 ,0.04 ,-0.17 ,0.11 ,,,,,,,,,,,,,,
HIP 24813 ,0.16 ,0.12 ,-0.03 ,0.19 ,0.14 ,0.36 ,,,,,,,,,,,,,,
HIP 7918 ,0.10 ,0.14 ,0.09 ,0.14 ,0.53 ,0.40 ,,,,,,,,,,,,,,
HIP 8433 ,-0.08 ,0.11 ,-0.02 ,0.02 ,-0.02 ,0.11 ,,,,,,,,,,,,,,
HIP 27890 ,0.22 ,0.07 ,-0.07 ,0.04 ,0.65 ,0.11 ,,,,,,,,,,,,,,
HIP 89844 ,0.24 ,0.16 ,0.25 ,0.04 ,0.38 ,0.16 ,b c ,58.11187 1749.67 ,0.00024 0.28 ,-0.00018 -0.29 ,7.628 17.76 ,0.606 0.35 ,-0.633 -0.35 ,0.53 0.2112 ,0.002 0.0013 ,-0.001 -0.0013 ,0.292 2.881 ,0.011 0.028 ,-0.012 -0.028 ,
HIP 40693 ,0.07 ,0.13 ,0.06 ,0.04 ,0.41 ,0.11 ,b c d ,8.667 31.613 200.61 ,0.003 0.013 0.68 ,-0.003 -0.014 -0.69 ,0.0321 0.031 0.0443 ,None 0.0031 0.0055 ,None -0.0029 -0.0055 ,0.1 0.114 0.1 ,0.04 0.096 0.1 ,-0.04 -0.079 -0.073 ,0.078 0.1882 0.645 ,None 0.0029 0.01 ,None -0.0029 -0.01 ,
HIP 29432 ,-0.02 ,0.14 ,-0.11 ,0.04 ,0.01 ,0.11 ,b ,149.61 ,0.37 ,-0.34 ,0.04531 ,0.00787 ,-0.00755 ,0.19 ,0.15 ,-0.12 ,0.554 ,0.011 ,-0.011 ,
HIP 69881 ,0.29 ,0.23 ,0.40 ,0.04 ,0.48 ,0.30 ,,,,,,,,,,,,,,
HIP 77052 ,0.11 ,0.08 ,0.34 ,0.04 ,0.36 ,0.24 ,,,,,,,,,,,,,,
HIP 62207 ,-0.30 ,0.12 ,-0.17 ,0.04 ,-0.17 ,0.11 ,,,,,,,,,,,,,,
HIP 97023 ,-0.24 ,0.09 ,-0.06 ,0.04 ,-0.03 ,0.38 ,,,,,,,,,,,,,,
HIP 103682 ,0.30 ,0.10 ,0.38 ,0.04 ,0.99 ,0.11 ,,,,,,,,,,,,,,
HIP 51459 ,-0.05 ,0.12 ,-0.26 ,0.04 ,0.66 ,0.11 ,,,,,,,,,,,,,,
HIP 74500 ,0.33 ,0.18 ,0.37 ,0.04 ,0.45 ,0.33 ,b c ,258.31 5000.0 ,0.16 400.0 ,-0.16 -400.0 ,1.62 0.82 ,0.13 0.03 ,-0.13 -0.03 ,0.243 0.12 ,0.011 0.02 ,-0.011 -0.02 ,0.82 5.8 ,0.047 0.5 ,-0.047 -0.5 ,
HIP 89348 ,-0.22 ,0.06 ,0.35 ,0.04 ,-0.13 ,0.11 ,,,,,,,,,,,,,,
HIP 14086 ,-0.20 ,0.18 ,-0.40 ,0.04 ,-0.34 ,0.15 ,,,,,,,,,,,,,,
HIP 14594 ,-1.52 ,1.12 ,-0.92 ,0.98 ,-0.95 ,0.11 ,,,,,,,,,,,,,,
HIP 94981 ,0.13 ,0.09 ,0.15 ,0.10 ,0.59 ,0.11 ,,,,,,,,,,,,,,
HIP 27913 ,0.02 ,0.21 ,-0.02 ,0.19 ,0.12 ,0.18 ,,,,,,,,,,,,,,
HIP 24332 ,-0.10 ,0.05 ,-0.17 ,0.04 ,-0.07 ,0.11 ,,,,,,,,,,,,,,
HIP 113421 ,0.41 ,0.20 ,0.40 ,0.04 ,0.51 ,0.25 ,b c ,7.126846 5141.0 ,1.3e-05 13.0 ,-1.3e-05 -13.0 ,1.4135 4.31 ,0.0042 0.13 ,-0.0042 -0.13 ,0.1283 0.3928 ,0.0027 0.0069 ,-0.0027 -0.0067 ,0.07505 5.942 ,0.00097 0.083 ,-0.00097 -0.086 ,
HIP 93966 ,0.19 ,0.10 ,0.34 ,0.04 ,0.40 ,0.24 ,,,,,,,,,,,,,,
